GEOID,NAME,total_hh,total_hh_moe,multi_person_est,multi_person_moe,multi_person_share,living_alone_est,living_alone_moe,living_alone_share,block_group,tract
150030001071,Block Group 1; Census Tract 1.07; Honolulu County; Hawaii,518,58,465,63,0.8977,53,32,0.1023,1,1.07
150030001222,Block Group 2; Census Tract 1.22; Honolulu County; Hawaii,217,66,204,70.1,0.9401,13,21,0.0599,2,1.22
150030001223,Block Group 3; Census Tract 1.22; Honolulu County; Hawaii,323,73,240,84.1,0.743,83,60,0.257,3,1.22
150030002001,Block Group 1; Census Tract 2; Honolulu County; Hawaii,233,75,211,81,0.9056,22,25,0.0944,1,2
150030002002,Block Group 2; Census Tract 2; Honolulu County; Hawaii,212,86,183,87.1,0.8632,29,26,0.1368,2,2
150030002003,Block Group 3; Census Tract 2; Honolulu County; Hawaii,511,125,427,122,0.8356,84,39,0.1644,3,2
150030002004,Block Group 4; Census Tract 2; Honolulu County; Hawaii,306,88,293,89.3,0.9575,13,20,0.0425,4,2
150030002005,Block Group 5; Census Tract 2; Honolulu County; Hawaii,306,79,244,77.1,0.7974,62,36,0.2026,5,2
150030002006,Block Group 6; Census Tract 2; Honolulu County; Hawaii,282,90,186,75.7,0.6596,96,73,0.3404,6,2
150030003011,Block Group 1; Census Tract 3.01; Honolulu County; Hawaii,682,219,573,212.4,0.8402,109,73,0.1598,1,3.01
150030003012,Block Group 2; Census Tract 3.01; Honolulu County; Hawaii,585,107,518,95.1,0.8855,67,54,0.1145,2,3.01
150030003021,Block Group 1; Census Tract 3.02; Honolulu County; Hawaii,545,134,460,136,0.844,85,40,0.156,1,3.02
150030003022,Block Group 2; Census Tract 3.02; Honolulu County; Hawaii,445,89,341,68.9,0.7663,104,57,0.2337,2,3.02
150030004011,Block Group 1; Census Tract 4.01; Honolulu County; Hawaii,230,65,187,67.1,0.813,43,29,0.187,1,4.01
150030004012,Block Group 2; Census Tract 4.01; Honolulu County; Hawaii,812,102,674,115.5,0.83,138,63,0.17,2,4.01
150030004021,Block Group 1; Census Tract 4.02; Honolulu County; Hawaii,279,79,219,64,0.7849,60,53,0.2151,1,4.02
150030004022,Block Group 2; Census Tract 4.02; Honolulu County; Hawaii,811,122,721,126.8,0.889,90,56,0.111,2,4.02
150030004023,Block Group 3; Census Tract 4.02; Honolulu County; Hawaii,287,68,244,68.1,0.8502,43,33,0.1498,3,4.02
150030005001,Block Group 1; Census Tract 5; Honolulu County; Hawaii,219,80,208,80.3,0.9498,11,16,0.0502,1,5
150030005002,Block Group 2; Census Tract 5; Honolulu County; Hawaii,240,110,221,110.1,0.9208,19,20,0.0792,2,5
150030005003,Block Group 3; Census Tract 5; Honolulu County; Hawaii,256,87,170,48.1,0.6641,86,81,0.3359,3,5
150030005004,Block Group 4; Census Tract 5; Honolulu County; Hawaii,326,98,196,71.8,0.6012,130,78,0.3988,4,5
150030005005,Block Group 5; Census Tract 5; Honolulu County; Hawaii,263,66,168,60.4,0.6388,95,55,0.3612,5,5
150030006001,Block Group 1; Census Tract 6; Honolulu County; Hawaii,0,12,0,4.9,NA,0,12,NA,1,6
150030006002,Block Group 2; Census Tract 6; Honolulu County; Hawaii,440,117,384,114.1,0.8727,56,33,0.1273,2,6
150030007001,Block Group 1; Census Tract 7; Honolulu County; Hawaii,278,75,254,72.1,0.9137,24,21,0.0863,1,7
150030007002,Block Group 2; Census Tract 7; Honolulu County; Hawaii,184,51,124,50.6,0.6739,60,42,0.3261,2,7
150030007003,Block Group 3; Census Tract 7; Honolulu County; Hawaii,277,87,244,85.6,0.8809,33,33,0.1191,3,7
150030007004,Block Group 4; Census Tract 7; Honolulu County; Hawaii,295,92,283,90.8,0.9593,12,15,0.0407,4,7
150030008001,Block Group 1; Census Tract 8; Honolulu County; Hawaii,470,115,275,86.1,0.5851,195,115,0.4149,1,8
150030008002,Block Group 2; Census Tract 8; Honolulu County; Hawaii,470,108,330,105.4,0.7021,140,58,0.2979,2,8
150030008003,Block Group 3; Census Tract 8; Honolulu County; Hawaii,379,92,327,89.5,0.8628,52,33,0.1372,3,8
150030009011,Block Group 1; Census Tract 9.01; Honolulu County; Hawaii,385,75,267,82.3,0.6935,118,54,0.3065,1,9.01
150030009012,Block Group 2; Census Tract 9.01; Honolulu County; Hawaii,537,92,371,86.7,0.6909,166,61,0.3091,2,9.01
150030009031,Block Group 1; Census Tract 9.03; Honolulu County; Hawaii,384,73,269,74.2,0.7005,115,68,0.2995,1,9.03
150030009032,Block Group 2; Census Tract 9.03; Honolulu County; Hawaii,550,94,434,94.9,0.7891,116,70,0.2109,2,9.03
150030009041,Block Group 1; Census Tract 9.04; Honolulu County; Hawaii,759,180,665,199.4,0.8762,94,48,0.1238,1,9.04
150030009051,Block Group 1; Census Tract 9.05; Honolulu County; Hawaii,402,116,332,112.9,0.8259,70,37,0.1741,1,9.05
150030009052,Block Group 2; Census Tract 9.05; Honolulu County; Hawaii,412,69,357,77.8,0.8665,55,38,0.1335,2,9.05
150030010001,Block Group 1; Census Tract 10; Honolulu County; Hawaii,490,144,394,149.2,0.8041,96,59,0.1959,1,10
150030010002,Block Group 2; Census Tract 10; Honolulu County; Hawaii,614,152,358,102.9,0.5831,256,139,0.4169,2,10
150030011011,Block Group 1; Census Tract 11.01; Honolulu County; Hawaii,262,59,218,66.2,0.8321,44,31,0.1679,1,11.01
150030011012,Block Group 2; Census Tract 11.01; Honolulu County; Hawaii,267,84,196,85.6,0.7341,71,58,0.2659,2,11.01
150030011021,Block Group 1; Census Tract 11.02; Honolulu County; Hawaii,379,141,281,122.5,0.7414,98,66,0.2586,1,11.02
150030011022,Block Group 2; Census Tract 11.02; Honolulu County; Hawaii,297,62,203,55,0.6835,94,63,0.3165,2,11.02
150030012011,Block Group 1; Census Tract 12.01; Honolulu County; Hawaii,409,153,249,84.3,0.6088,160,123,0.3912,1,12.01
150030012012,Block Group 2; Census Tract 12.01; Honolulu County; Hawaii,620,105,564,118.7,0.9097,56,44,0.0903,2,12.01
150030012021,Block Group 1; Census Tract 12.02; Honolulu County; Hawaii,641,97,504,92.7,0.7863,137,56,0.2137,1,12.02
150030012022,Block Group 2; Census Tract 12.02; Honolulu County; Hawaii,313,94,238,95.5,0.7604,75,41,0.2396,2,12.02
150030013001,Block Group 1; Census Tract 13; Honolulu County; Hawaii,394,100,334,109.6,0.8477,60,45,0.1523,1,13
150030013002,Block Group 2; Census Tract 13; Honolulu County; Hawaii,460,151,408,162,0.887,52,33,0.113,2,13
150030013003,Block Group 3; Census Tract 13; Honolulu County; Hawaii,269,84,250,87.1,0.9294,19,19,0.0706,3,13
150030013004,Block Group 4; Census Tract 13; Honolulu County; Hawaii,288,107,157,64,0.5451,131,98,0.4549,4,13
150030014001,Block Group 1; Census Tract 14; Honolulu County; Hawaii,340,143,289,141.1,0.85,51,41,0.15,1,14
150030014002,Block Group 2; Census Tract 14; Honolulu County; Hawaii,577,107,483,108.2,0.8371,94,40,0.1629,2,14
150030015011,Block Group 1; Census Tract 15.01; Honolulu County; Hawaii,672,258,453,100.7,0.6741,219,240,0.3259,1,15.01
150030015021,Block Group 1; Census Tract 15.02; Honolulu County; Hawaii,310,103,249,78.4,0.8032,61,71,0.1968,1,15.02
150030015022,Block Group 2; Census Tract 15.02; Honolulu County; Hawaii,490,107,360,102.2,0.7347,130,73,0.2653,2,15.02
150030016011,Block Group 1; Census Tract 16.01; Honolulu County; Hawaii,465,96,350,105.6,0.7527,115,47,0.2473,1,16.01
150030016012,Block Group 2; Census Tract 16.01; Honolulu County; Hawaii,198,48,148,50.5,0.7475,50,33,0.2525,2,16.01
150030016021,Block Group 1; Census Tract 16.02; Honolulu County; Hawaii,249,52,198,50.6,0.7952,51,32,0.2048,1,16.02
150030016022,Block Group 2; Census Tract 16.02; Honolulu County; Hawaii,259,77,212,77.3,0.8185,47,40,0.1815,2,16.02
150030017001,Block Group 1; Census Tract 17; Honolulu County; Hawaii,617,130,394,109.6,0.6386,223,96,0.3614,1,17
150030017002,Block Group 2; Census Tract 17; Honolulu County; Hawaii,434,116,232,93.4,0.5346,202,100,0.4654,2,17
150030018011,Block Group 1; Census Tract 18.01; Honolulu County; Hawaii,274,99,89,52.4,0.3248,185,83,0.6752,1,18.01
150030018012,Block Group 2; Census Tract 18.01; Honolulu County; Hawaii,239,100,69,43.1,0.2887,170,91,0.7113,2,18.01
150030018031,Block Group 1; Census Tract 18.03; Honolulu County; Hawaii,495,161,249,142,0.503,246,112,0.497,1,18.03
150030018032,Block Group 2; Census Tract 18.03; Honolulu County; Hawaii,165,95,74,46.7,0.4485,91,87,0.5515,2,18.03
150030018033,Block Group 3; Census Tract 18.03; Honolulu County; Hawaii,570,171,296,120.7,0.5193,274,127,0.4807,3,18.03
150030018034,Block Group 4; Census Tract 18.03; Honolulu County; Hawaii,426,125,295,131.3,0.6925,131,75,0.3075,4,18.03
150030018041,Block Group 1; Census Tract 18.04; Honolulu County; Hawaii,370,96,155,59.7,0.4189,215,94,0.5811,1,18.04
150030018042,Block Group 2; Census Tract 18.04; Honolulu County; Hawaii,500,148,179,69.9,0.358,321,138,0.642,2,18.04
150030019011,Block Group 1; Census Tract 19.01; Honolulu County; Hawaii,278,71,175,63.6,0.6295,103,35,0.3705,1,19.01
150030019051,Block Group 1; Census Tract 19.05; Honolulu County; Hawaii,267,115,194,108.4,0.7266,73,50,0.2734,1,19.05
150030019052,Block Group 2; Census Tract 19.05; Honolulu County; Hawaii,597,150,253,111.2,0.4238,344,133,0.5762,2,19.05
150030019061,Block Group 1; Census Tract 19.06; Honolulu County; Hawaii,512,143,71,48,0.1387,441,135,0.8613,1,19.06
150030019062,Block Group 2; Census Tract 19.06; Honolulu County; Hawaii,485,127,401,118.9,0.8268,84,51,0.1732,2,19.06
150030019063,Block Group 3; Census Tract 19.06; Honolulu County; Hawaii,735,159,343,122.6,0.4667,392,109,0.5333,3,19.06
150030019071,Block Group 1; Census Tract 19.07; Honolulu County; Hawaii,760,258,367,210.1,0.4829,393,143,0.5171,1,19.07
150030019072,Block Group 2; Census Tract 19.07; Honolulu County; Hawaii,164,92,57,43,0.3476,107,98,0.6524,2,19.07
150030019073,Block Group 3; Census Tract 19.07; Honolulu County; Hawaii,638,116,265,105.1,0.4154,373,125,0.5846,3,19.07
150030020031,Block Group 1; Census Tract 20.03; Honolulu County; Hawaii,502,110,251,97.6,0.5,251,80,0.5,1,20.03
150030020032,Block Group 2; Census Tract 20.03; Honolulu County; Hawaii,868,203,141,127.8,0.1624,727,189,0.8376,2,20.03
150030020041,Block Group 1; Census Tract 20.04; Honolulu County; Hawaii,319,74,135,54.1,0.4232,184,60,0.5768,1,20.04
150030020042,Block Group 2; Census Tract 20.04; Honolulu County; Hawaii,495,110,210,87.4,0.4242,285,103,0.5758,2,20.04
150030020051,Block Group 1; Census Tract 20.05; Honolulu County; Hawaii,572,160,199,126.6,0.3479,373,113,0.6521,1,20.05
150030020052,Block Group 2; Census Tract 20.05; Honolulu County; Hawaii,556,195,220,101.7,0.3957,336,184,0.6043,2,20.05
150030020061,Block Group 1; Census Tract 20.06; Honolulu County; Hawaii,488,123,252,93.2,0.5164,236,105,0.4836,1,20.06
150030020062,Block Group 2; Census Tract 20.06; Honolulu County; Hawaii,731,178,324,91,0.4432,407,162,0.5568,2,20.06
150030021011,Block Group 1; Census Tract 21.01; Honolulu County; Hawaii,179,61,101,56.4,0.5642,78,42,0.4358,1,21.01
150030021012,Block Group 2; Census Tract 21.01; Honolulu County; Hawaii,262,98,207,94.1,0.7901,55,37,0.2099,2,21.01
150030021013,Block Group 3; Census Tract 21.01; Honolulu County; Hawaii,496,150,182,68.7,0.3669,314,133,0.6331,3,21.01
150030021021,Block Group 1; Census Tract 21.02; Honolulu County; Hawaii,258,125,125,65.1,0.4845,133,120,0.5155,1,21.02
150030021022,Block Group 2; Census Tract 21.02; Honolulu County; Hawaii,577,83,381,93.5,0.6603,196,67,0.3397,2,21.02
150030022031,Block Group 1; Census Tract 22.03; Honolulu County; Hawaii,836,129,446,96.9,0.5335,390,114,0.4665,1,22.03
150030022041,Block Group 1; Census Tract 22.04; Honolulu County; Hawaii,712,88,381,99.6,0.5351,331,81,0.4649,1,22.04
150030022051,Block Group 1; Census Tract 22.05; Honolulu County; Hawaii,890,283,517,139.8,0.5809,373,268,0.4191,1,22.05
150030022061,Block Group 1; Census Tract 22.06; Honolulu County; Hawaii,555,106,262,96.5,0.4721,293,89,0.5279,1,22.06
150030022062,Block Group 2; Census Tract 22.06; Honolulu County; Hawaii,414,127,289,67.1,0.6981,125,108,0.3019,2,22.06
150030023011,Block Group 1; Census Tract 23.01; Honolulu County; Hawaii,309,73,234,74.4,0.7573,75,38,0.2427,1,23.01
150030023012,Block Group 2; Census Tract 23.01; Honolulu County; Hawaii,620,179,396,176.2,0.6387,224,94,0.3613,2,23.01
150030023013,Block Group 3; Census Tract 23.01; Honolulu County; Hawaii,766,253,321,139,0.4191,445,236,0.5809,3,23.01
150030023021,Block Group 1; Census Tract 23.02; Honolulu County; Hawaii,656,103,347,109.6,0.529,309,112,0.471,1,23.02
150030023022,Block Group 2; Census Tract 23.02; Honolulu County; Hawaii,332,90,229,100.4,0.6898,103,53,0.3102,2,23.02
150030024011,Block Group 1; Census Tract 24.01; Honolulu County; Hawaii,275,77,170,71.5,0.6182,105,49,0.3818,1,24.01
150030024012,Block Group 2; Census Tract 24.01; Honolulu County; Hawaii,382,102,276,96.6,0.7225,106,67,0.2775,2,24.01
150030024013,Block Group 3; Census Tract 24.01; Honolulu County; Hawaii,365,95,165,70.2,0.4521,200,85,0.5479,3,24.01
150030024014,Block Group 4; Census Tract 24.01; Honolulu County; Hawaii,195,108,116,86.1,0.5949,79,57,0.4051,4,24.01
150030024031,Block Group 1; Census Tract 24.03; Honolulu County; Hawaii,361,118,285,125.5,0.7895,76,49,0.2105,1,24.03
150030024032,Block Group 2; Census Tract 24.03; Honolulu County; Hawaii,397,168,181,71.2,0.4559,216,155,0.5441,2,24.03
150030024041,Block Group 1; Census Tract 24.04; Honolulu County; Hawaii,310,71,77,42.5,0.2484,233,60,0.7516,1,24.04
150030024042,Block Group 2; Census Tract 24.04; Honolulu County; Hawaii,405,63,287,72.8,0.7086,118,50,0.2914,2,24.04
150030025001,Block Group 1; Census Tract 25; Honolulu County; Hawaii,1143,208,553,193.3,0.4838,590,173,0.5162,1,25
150030025002,Block Group 2; Census Tract 25; Honolulu County; Hawaii,476,141,252,106.2,0.5294,224,91,0.4706,2,25
150030025003,Block Group 3; Census Tract 25; Honolulu County; Hawaii,270,110,63,54.1,0.2333,207,101,0.7667,3,25
150030026001,Block Group 1; Census Tract 26; Honolulu County; Hawaii,530,142,226,84.2,0.4264,304,118,0.5736,1,26
150030026002,Block Group 2; Census Tract 26; Honolulu County; Hawaii,325,93,105,61.4,0.3231,220,86,0.6769,2,26
150030026003,Block Group 3; Census Tract 26; Honolulu County; Hawaii,419,140,180,76.1,0.4296,239,104,0.5704,3,26
150030026004,Block Group 4; Census Tract 26; Honolulu County; Hawaii,562,187,382,171.8,0.6797,180,68,0.3203,4,26
150030027011,Block Group 1; Census Tract 27.01; Honolulu County; Hawaii,110,52,74,44.1,0.6727,36,27,0.3273,1,27.01
150030027012,Block Group 2; Census Tract 27.01; Honolulu County; Hawaii,547,244,291,87.6,0.532,256,214,0.468,2,27.01
150030027013,Block Group 3; Census Tract 27.01; Honolulu County; Hawaii,133,52,52,40.3,0.391,81,44,0.609,3,27.01
150030027021,Block Group 1; Census Tract 27.02; Honolulu County; Hawaii,289,111,256,117.6,0.8858,33,34,0.1142,1,27.02
150030027022,Block Group 2; Census Tract 27.02; Honolulu County; Hawaii,452,188,240,93.5,0.531,212,201,0.469,2,27.02
150030027023,Block Group 3; Census Tract 27.02; Honolulu County; Hawaii,850,155,487,134.2,0.5729,363,130,0.4271,3,27.02
150030027024,Block Group 4; Census Tract 27.02; Honolulu County; Hawaii,512,157,343,157,0.6699,169,72,0.3301,4,27.02
150030028011,Block Group 1; Census Tract 28.01; Honolulu County; Hawaii,609,86,444,87.7,0.7291,165,50,0.2709,1,28.01
150030028021,Block Group 1; Census Tract 28.02; Honolulu County; Hawaii,270,100,140,45.9,0.5185,130,99,0.4815,1,28.02
150030028022,Block Group 2; Census Tract 28.02; Honolulu County; Hawaii,679,125,457,124,0.673,222,109,0.327,2,28.02
150030029001,Block Group 1; Census Tract 29; Honolulu County; Hawaii,897,153,618,77.3,0.689,279,129,0.311,1,29
150030030001,Block Group 1; Census Tract 30; Honolulu County; Hawaii,386,140,284,131.5,0.7358,102,64,0.2642,1,30
150030030002,Block Group 2; Census Tract 30; Honolulu County; Hawaii,401,112,307,97.1,0.7656,94,67,0.2344,2,30
150030030003,Block Group 3; Census Tract 30; Honolulu County; Hawaii,430,132,408,133.4,0.9488,22,21,0.0512,3,30
150030030004,Block Group 4; Census Tract 30; Honolulu County; Hawaii,449,129,308,89.7,0.686,141,87,0.314,4,30
150030031021,Block Group 1; Census Tract 31.02; Honolulu County; Hawaii,960,193,657,144.9,0.6844,303,167,0.3156,1,31.02
150030031022,Block Group 2; Census Tract 31.02; Honolulu County; Hawaii,381,118,286,66.7,0.7507,95,102,0.2493,2,31.02
150030031031,Block Group 1; Census Tract 31.03; Honolulu County; Hawaii,533,52,404,82.4,0.758,129,50,0.242,1,31.03
150030031041,Block Group 1; Census Tract 31.04; Honolulu County; Hawaii,853,204,699,211.6,0.8195,154,60,0.1805,1,31.04
150030034041,Block Group 1; Census Tract 34.04; Honolulu County; Hawaii,1052,254,611,246.4,0.5808,441,150,0.4192,1,34.04
150030034042,Block Group 2; Census Tract 34.04; Honolulu County; Hawaii,356,121,173,84.5,0.486,183,128,0.514,2,34.04
150030034043,Block Group 3; Census Tract 34.04; Honolulu County; Hawaii,128,70,60,49.1,0.4688,68,53,0.5312,3,34.04
150030034044,Block Group 4; Census Tract 34.04; Honolulu County; Hawaii,743,153,501,164.1,0.6743,242,110,0.3257,4,34.04
150030034081,Block Group 1; Census Tract 34.08; Honolulu County; Hawaii,621,136,241,123.9,0.3881,380,141,0.6119,1,34.08
150030034082,Block Group 2; Census Tract 34.08; Honolulu County; Hawaii,482,94,336,111.8,0.6971,146,94,0.3029,2,34.08
150030034091,Block Group 1; Census Tract 34.09; Honolulu County; Hawaii,579,148,372,152,0.6425,207,114,0.3575,1,34.09
150030034092,Block Group 2; Census Tract 34.09; Honolulu County; Hawaii,400,119,148,71.6,0.37,252,113,0.63,2,34.09
150030034101,Block Group 1; Census Tract 34.10; Honolulu County; Hawaii,809,199,588,232.3,0.7268,221,85,0.2732,1,34.10
150030034111,Block Group 1; Census Tract 34.11; Honolulu County; Hawaii,637,186,315,81.7,0.4945,322,171,0.5055,1,34.11
150030034121,Block Group 1; Census Tract 34.12; Honolulu County; Hawaii,901,118,580,137.9,0.6437,321,88,0.3563,1,34.12
150030034131,Block Group 1; Census Tract 34.13; Honolulu County; Hawaii,706,149,327,95,0.4632,379,151,0.5368,1,34.13
150030034132,Block Group 2; Census Tract 34.13; Honolulu County; Hawaii,633,125,247,88.7,0.3902,386,122,0.6098,2,34.13
150030034141,Block Group 1; Census Tract 34.14; Honolulu County; Hawaii,288,82,181,69.3,0.6285,107,54,0.3715,1,34.14
150030034142,Block Group 2; Census Tract 34.14; Honolulu County; Hawaii,784,137,410,129.8,0.523,374,103,0.477,2,34.14
150030034143,Block Group 3; Census Tract 34.14; Honolulu County; Hawaii,812,203,458,149.8,0.564,354,154,0.436,3,34.14
150030034144,Block Group 4; Census Tract 34.14; Honolulu County; Hawaii,512,129,225,108.1,0.4395,287,85,0.5605,4,34.14
150030035011,Block Group 1; Census Tract 35.01; Honolulu County; Hawaii,380,87,205,96,0.5395,175,54,0.4605,1,35.01
150030035012,Block Group 2; Census Tract 35.01; Honolulu County; Hawaii,865,199,456,131.2,0.5272,409,157,0.4728,2,35.01
150030035031,Block Group 1; Census Tract 35.03; Honolulu County; Hawaii,661,50,323,82.8,0.4887,338,89,0.5113,1,35.03
150030035041,Block Group 1; Census Tract 35.04; Honolulu County; Hawaii,358,108,200,94.9,0.5587,158,72,0.4413,1,35.04
150030035042,Block Group 2; Census Tract 35.04; Honolulu County; Hawaii,1147,251,702,265.5,0.612,445,123,0.388,2,35.04
150030036031,Block Group 1; Census Tract 36.03; Honolulu County; Hawaii,769,134,315,117,0.4096,454,105,0.5904,1,36.03
150030036032,Block Group 2; Census Tract 36.03; Honolulu County; Hawaii,940,203,396,154.1,0.4213,544,162,0.5787,2,36.03
150030036033,Block Group 3; Census Tract 36.03; Honolulu County; Hawaii,117,60,77,61.1,0.6581,40,36,0.3419,3,36.03
150030036041,Block Group 1; Census Tract 36.04; Honolulu County; Hawaii,532,125,222,87.5,0.4173,310,108,0.5827,1,36.04
150030036042,Block Group 2; Census Tract 36.04; Honolulu County; Hawaii,709,156,294,100.2,0.4147,415,126,0.5853,2,36.04
150030036051,Block Group 1; Census Tract 36.05; Honolulu County; Hawaii,501,35,171,33.2,0.3413,330,51,0.6587,1,36.05
150030036061,Block Group 1; Census Tract 36.06; Honolulu County; Hawaii,631,126,355,121.9,0.5626,276,83,0.4374,1,36.06
150030036062,Block Group 2; Census Tract 36.06; Honolulu County; Hawaii,749,207,520,192.4,0.6943,229,91,0.3057,2,36.06
150030037011,Block Group 1; Census Tract 37.01; Honolulu County; Hawaii,312,113,108,74.1,0.3462,204,100,0.6538,1,37.01
150030037012,Block Group 2; Census Tract 37.01; Honolulu County; Hawaii,375,122,319,116.3,0.8507,56,60,0.1493,2,37.01
150030037013,Block Group 3; Census Tract 37.01; Honolulu County; Hawaii,598,165,358,142,0.5987,240,147,0.4013,3,37.01
150030037014,Block Group 4; Census Tract 37.01; Honolulu County; Hawaii,0,12,0,4.9,NA,0,12,NA,4,37.01
150030037021,Block Group 1; Census Tract 37.02; Honolulu County; Hawaii,253,108,192,102.1,0.7589,61,49,0.2411,1,37.02
150030037022,Block Group 2; Census Tract 37.02; Honolulu County; Hawaii,789,208,522,211.8,0.6616,267,126,0.3384,2,37.02
150030037023,Block Group 3; Census Tract 37.02; Honolulu County; Hawaii,1000,327,487,228.5,0.487,513,259,0.513,3,37.02
150030037024,Block Group 4; Census Tract 37.02; Honolulu County; Hawaii,72,48,54,51.1,0.75,18,35,0.25,4,37.02
150030037031,Block Group 1; Census Tract 37.03; Honolulu County; Hawaii,721,253,355,121.1,0.4924,366,243,0.5076,1,37.03
150030037032,Block Group 2; Census Tract 37.03; Honolulu County; Hawaii,260,339,260,340.3,1,0,12,0,2,37.03
150030037033,Block Group 3; Census Tract 37.03; Honolulu County; Hawaii,471,113,316,113.2,0.6709,155,92,0.3291,3,37.03
150030037034,Block Group 4; Census Tract 37.03; Honolulu County; Hawaii,0,12,0,4.9,NA,0,12,NA,4,37.03
150030037035,Block Group 5; Census Tract 37.03; Honolulu County; Hawaii,260,144,239,133.7,0.9192,21,24,0.0808,5,37.03
150030038011,Block Group 1; Census Tract 38.01; Honolulu County; Hawaii,1099,246,487,171.3,0.4431,612,224,0.5569,1,38.01
150030038012,Block Group 2; Census Tract 38.01; Honolulu County; Hawaii,477,148,370,150.3,0.7757,107,85,0.2243,2,38.01
150030038013,Block Group 3; Census Tract 38.01; Honolulu County; Hawaii,0,12,0,4.9,NA,0,12,NA,3,38.01
150030038014,Block Group 4; Census Tract 38.01; Honolulu County; Hawaii,1066,262,782,275.1,0.7336,284,132,0.2664,4,38.01
150030038015,Block Group 5; Census Tract 38.01; Honolulu County; Hawaii,0,12,0,4.9,NA,0,12,NA,5,38.01
150030038021,Block Group 1; Census Tract 38.02; Honolulu County; Hawaii,206,146,108,71.1,0.5243,98,135,0.4757,1,38.02
150030038022,Block Group 2; Census Tract 38.02; Honolulu County; Hawaii,1322,262,873,293.5,0.6604,449,201,0.3396,2,38.02
150030038023,Block Group 3; Census Tract 38.02; Honolulu County; Hawaii,440,191,251,172.3,0.5705,189,144,0.4295,3,38.02
150030038024,Block Group 4; Census Tract 38.02; Honolulu County; Hawaii,0,12,0,4.9,NA,0,12,NA,4,38.02
150030038025,Block Group 5; Census Tract 38.02; Honolulu County; Hawaii,758,199,384,152.1,0.5066,374,153,0.4934,5,38.02
